source_table,source_pk,fund_name,current_label,proposed_label,current_family,proposed_family,severity_tier,severity_label,classification_source,confidence,matched_pattern,allocation_blocks
sec_etfs,0000879947,AMG ETF Trust,,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
sec_registered_funds,0000739594,Federated Hermes Short-Term Government Trust,,Government Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_government,
sec_registered_funds,0000757928,AMERICAN CENTURY TARGET MATURITIES TRUST,,Government Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_government,
sec_registered_funds,0000762156,"BNY Mellon U.S. Mortgage Fund, Inc.",,Mortgage-Backed Securities,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_mbs,
sec_registered_funds,0000771524,Federated Hermes Adjustable Rate Securities Trust,,Mortgage-Backed Securities,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_mbs,
sec_registered_funds,0000799084,SUNAMERICA EQUITY FUNDS,,Cash Equivalent,,cash,P0,safe_auto_apply,nport_holdings,high,holdings:cash_dominant,
sec_registered_funds,0000809872,VOYAGEUR MUTUAL FUNDS II,,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
sec_registered_funds,0000870355,QUAKER INVESTMENT TRUST,,Government Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_government,
sec_registered_funds,0000884381,GLENMEDE PORTFOLIOS,,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
sec_registered_funds,0000889388,"Federated Hermes Investment Series Funds, Inc.",,Investment Grade Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_corporate,
sec_registered_funds,0000893226,FRANKLIN STRATEGIC MORTGAGE PORTFOLIO,,Mortgage-Backed Securities,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_mbs,
sec_registered_funds,0000917286,FIDELITY HEREFORD STREET TRUST,,Government Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_government,
sec_registered_funds,0001034386,"T. Rowe Price Reserve Investment Funds, Inc.",,Cash Equivalent,,cash,P0,safe_auto_apply,nport_holdings,high,holdings:cash_dominant,
sec_registered_funds,0001140157,PIONEER SERIES TRUST VII,,Investment Grade Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_corporate,
sec_registered_funds,0001208252,CM ADVISORS FAMILY OF FUNDS,,Investment Grade Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_corporate,
sec_registered_funds,1034665,"BLACKROCK MUNIHOLDINGS FUND, INC.",,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
sec_registered_funds,1051004,"BLACKROCK MUNIHOLDINGS CALIFORNIA QUALITY FUND, INC.",,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
sec_registered_funds,1053988,"BLACKROCK MUNIHOLDINGS NEW JERSEY QUALITY FUND, INC.",,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
sec_registered_funds,1478102,Western Asset Mortgage Opportunity Fund Inc.,,Mortgage-Backed Securities,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_mbs,
sec_registered_funds,1560672,Ellington Credit Co,,Asset-Backed Securities,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_abs,
sec_registered_funds,1604174,Eagle Point Credit Co Inc.,,Asset-Backed Securities,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_abs,
sec_registered_funds,1643838,IDX Risk-Managed Digital Assets Strategy Fund,,Cash Equivalent,,cash,P0,safe_auto_apply,nport_holdings,high,holdings:cash_dominant,
sec_registered_funds,2044327,C1 Fund Inc.,,Cash Equivalent,,cash,P0,safe_auto_apply,nport_holdings,high,holdings:cash_dominant,
sec_registered_funds,230173,DELAWARE GROUP CASH RESERVE,,Asset-Backed Securities,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_abs,
sec_registered_funds,278187,"PRUDENTIAL INVESTMENT PORTFOLIOS, INC. 15",,Investment Grade Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_corporate,
sec_registered_funds,28540,FIDELITY OXFORD STREET TRUST,,Cash Equivalent,,cash,P0,safe_auto_apply,nport_holdings,high,holdings:cash_dominant,
sec_registered_funds,759828,JOHN HANCOCK INVESTORS TRUST,,Investment Grade Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_corporate,
sec_registered_funds,771524,Federated Hermes Adjustable Rate Securities Trust,,Mortgage-Backed Securities,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_mbs,
sec_registered_funds,779785,"T. Rowe Price GNMA Fund, Inc.",,Mortgage-Backed Securities,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_mbs,
sec_registered_funds,809064,VOYAGEUR INSURED FUNDS,,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
sec_registered_funds,809872,VOYAGEUR MUTUAL FUNDS II,,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
sec_registered_funds,818972,"BNY MELLON STRATEGIC MUNICIPALS, INC.",,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
sec_registered_funds,835948,"BLACKROCK MUNIVEST FUND, INC.",,Municipal Bond,,fixed_income,P0,safe_auto_apply,nport_holdings,high,holdings:fi_municipal,
