count,label
17,"Bloomberg U S Aggregate Bond Index"
10,"Bloomberg U.S. Municipal Bond Index reflects no deductions for fees, expenses or taxes"
10,"Bloomberg Barclays Municipal Bond Index(reflects no deduction for fees, expenses, or taxes)"
9,"Bloomberg Barclays U S Aggregate Bond Index"
9,"Bloomberg Barclays U.S. Municipal Bond Index reflects no deductions for fees, expenses or taxes"
7,"Bloomberg U.S. Aggregate Index (no deduction for fees, expenses or taxes)"
6,"Russell 3000 Index (no deduction for fees, expenses or taxes)"
6,"Bloomberg Barclays U.S. Aggregate Bond Index (no deduction for fees, expenses or taxes)"
6,"Bloomberg U.S. Aggregate Bond Index (no deduction for fees, expenses or taxes)"
6,"Bloomberg Barclays U.S. Aggregate Bond Index"
5,"Bloomberg Barclays Municipal Bond Index (no deduction for fees, expenses or taxes)"
5,"S&P 500 Index Return (reflects no deduction for fees, expenses or taxes)"
4,"S&P 500 Index (no deduction for fees, expenses or taxes)"
4,"Bloomberg Municipal Bond Index (no deduction for fees, expenses or taxes)"
4,"Bloomberg Barclays U.S. Aggregate Bond Index Return (reflects no deduction for fees, expenses or taxes)"
4,"Bloomberg U.S. Aggregate Bond Index Return (reflects no deduction for fees, expenses or taxes)"
4,"Bloomberg Barclays U.S. Aggregate Bond Index (reflects no deduction for fees, expenses, or taxes)"
4,"MSCI All Country World Index-NR"
4,"Bloomberg Barclays Us Aggregate Bond Index"
3,"S&P/LSTA Leveraged Loan Index (reflects no deduction for fees, expenses or taxes)"
3,"Bloomberg Barclays U.S. Municipal Bond Index reflects no deduction for fees, expenses or taxes"
3,"Bloomberg Barclays U.S. Aggregate Bond Index (reflects no deduction for fees, expenses or taxes)"
3,"Bloomberg Barclays Municipal Bond Index"
3,"MSCI All Country World Index (index reflects no deduction for fees, expenses or taxes)"
3,"Bloomberg Barclays U.S. Universal Bond Index(reflects no deduction for fees, expenses, or taxes)"
3,"S&P 500 Index (does not reflect deductions for fees, expenses or taxes)"
3,"Bloomberg Barclays U S Mortgage Backed Securities Index"
3,"JPMorgan Developed High Yield Index (no deduction for fees, expenses or taxes)"
3,"Dow Jones U S Total Stock Market Float Adjusted Index"
3,"S&P/LSTA Leveraged Loan Index"
3,"Standard & Poors (S&P) 500 Index (reflects no deduction for fees, expenses, or taxes)"
2,"Lipper Money Market Funds Index"
2,"Barclays Municipal Bond Index reflects no deduction for fees, expenses or taxes"
2,"MSCI All Country World Index Net"
2,"MSCI EAFE Index (ND) (no deduction for fees, expenses or taxes, other than withholding taxes on reinvested dividends)"
2,"Russell 1000 Index Return (reflects no deduction for fees, expenses or taxes)"
2,"ICE BofAML 1-3 Year US Treasury Index (reflects no deduction for fees, expenses or taxes)"
2,"Bloomberg Short U.S. Treasury 9-12 Month Index Return (reflects no deduction for fees, expenses or taxes)"
2,"Russell 3000 Index Return (reflects no deduction for fees, expenses or taxes)"
2,"Bloomberg Barclays Municipal Bond Index (reflects no deduction for fees, expenses, or taxes)"
2,"Bloomberg Barclays Municipal Bond 5-Year (4-6) Index (reflects no deduction for fees, expenses, or taxes)"
