period,date,static_regime,static_score,static_signals,profile_a_regime,profile_a_score,profile_a_signals,profile_b_regime,profile_b_score,profile_b_signals,vix,hy_oas,energy_shock,cfnai,sahm,icsa,credit_impulse,permits
Q4 2018 Correction,2018-09-01,RISK_ON,23.8,8,RISK_OFF,33.6,9,RISK_OFF,30.0,9,12.86,3.49,22.400000000000002,0.02,-0.07,,,-5.13
Q4 2018 Correction,2018-10-01,RISK_ON,23.9,8,RISK_OFF,31.4,9,RISK_OFF,28.5,9,12.0,3.22,52.800000000000004,-0.21,-0.07,,,-7.69
Q4 2018 Correction,2018-11-01,RISK_ON,24.9,8,RISK_OFF,33.4,9,RISK_OFF,28.2,9,19.34,3.81,0.0,0.01,-0.07,,,0.15
Q4 2018 Correction,2018-12-01,RISK_OFF,29.8,8,RISK_OFF,37.7,9,RISK_OFF,33.2,9,18.07,4.29,0.0,-0.13,0.07,,,-2.08
Q4 2018 Correction,2019-01-01,RISK_OFF,48.7,8,CRISIS,52.4,9,RISK_OFF,48.6,9,25.42,5.33,0.0,-0.36,0.13,,,-6.0
Q4 2018 Correction,2019-02-01,RISK_OFF,36.1,8,RISK_OFF,37.4,9,RISK_OFF,38.4,9,16.14,4.29,0.0,-0.41,0.17,,,1.02
Q4 2018 Correction,2019-03-01,RISK_OFF,27.7,8,RISK_OFF,28.1,9,RISK_OFF,26.0,9,13.57,3.86,19.62,-0.1,0.13,,,-1.45
COVID,2019-09-01,RISK_OFF,39.1,8,RISK_OFF,49.9,9,RISK_OFF,46.2,9,18.98,4.13,5.9,-0.43,0.0,,,13.44
COVID,2019-10-01,RISK_OFF,45.8,8,CRISIS,66.5,9,CRISIS,63.6,9,18.56,4.08,0.0,-0.78,-0.03,,,15.2
COVID,2019-11-01,RISK_ON,20.9,9,RISK_ON,19.9,10,RISK_ON,16.6,10,12.3,4.09,1.32,0.2,-0.07,,,13.96
COVID,2019-12-01,RISK_OFF,28.9,9,RISK_OFF,31.7,10,RISK_OFF,28.6,10,12.62,4.02,11.08,-0.35,0.0,,,11.09
